cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v.mean,v.median,v.sd,lag1.mean,lag1.median,lag1.sd
57,false,Continue,576.1751594397869,11,4.70312,0.2092942914095792,0.14209045410156246,0.020240246779966144,0.07783500769138338,0.08378261263370514,0.0004803711278357303,1.2091932513497092,0.010257959365844727,4.313981457156371,4.7203497453169385,4.980304956436157,0.3148897306342811,54.87979492274198,42.33127784729004,276.02975298381966,2.735406242717396,2.4067530632019043,0.40582012715035365
58,false,Continue,576.1502101020178,10,4.70312,0.21835123443603516,0.1511067199707031,0.021486595992374423,0.0788489971971512,0.08952569173574448,0.000521471489707884,1.3290867805480957,0.010257959365844727,4.638414871960852,4.697479224205017,4.964679956436157,0.3341267734505739,56.25466346740723,50.48851704597473,283.5965047973448,2.7657715606689455,2.581753063201904,0.4340032703681065
59,false,Continue,576.1462213450313,10,4.70312,0.19001441955566406,0.13040765762329098,0.018018217975979665,0.07627725637674333,0.07666698763370514,0.0004940636987706288,0.8299747228622436,0.010257959365844727,3.090257849244482,4.835355687141418,4.980304956436157,0.18822188603332204,52.476867985725406,42.05002784729004,240.85015154408146,2.6407998180389405,2.4067530632019043,0.34282219649470896
60,false,Continue,576.1370283425675,12,4.70312,0.2063299592336019,0.13040765762329098,0.02236203426544288,0.07716351548433305,0.07635761263370514,0.0004596966179007504,0.9584598541259766,0.010257959365844727,3.0784562175503383,4.8602754672368365,4.980304956436157,0.14973443594579444,53.451712131500244,42.05002784729004,263.26386255205557,2.653035457928975,2.4067530632019043,0.3291513573408132
61,false,Continue,576.1272827492807,11,4.70312,0.18216991424560547,0.11872486114501954,0.01689329507753661,0.07853456149101258,0.08316386263370514,0.0004947345346865337,0.7554550170898438,0.010257959365844727,2.861614023240975,4.84853289344094,4.949054956436157,0.1546611034874013,51.24088993939486,41.76877784729004,233.25278918079493,2.6058864766901197,2.4067530632019043,0.32777293823254317
62,false,Continue,576.1193027476054,11,4.70312,0.1830790051546964,0.11872486114501954,0.01674549588042635,0.07605956149101259,0.07017011263370515,0.0004560516149645725,0.7526141079989347,0.010257959365844727,2.865969658260842,4.85137380253185,4.949054956436157,0.14734680335668726,51.087480848485775,41.76877784729004,236.92371792806958,2.626341022144665,2.4067530632019043,0.31836381329461855
63,false,Continue,576.1101696129948,11,4.70312,0.2088397459550337,0.14209045410156246,0.020696454530459974,0.0784537576913834,0.08316386263370514,0.0004853947699704564,1.200670524076982,0.010257959365844727,4.373315250839855,4.743077018044212,4.980304956436157,0.26072482790385954,54.57297674092379,42.33127784729004,289.83627194083846,2.7422244245355785,2.4067530632019043,0.41009988616725773
64,false,Continue,576.104546233609,12,4.70312,0.2000801722208659,0.13040765762329098,0.019735720248106402,0.08029001643657686,0.08921631673574448,0.00047838887685200946,1.1014694770177205,0.010257959365844727,4.093831309978987,4.765450179576874,4.980304956436157,0.24285171428710778,53.312196135520935,42.05002784729004,282.5623327657368,2.6996851444244387,2.4067530632019043,0.39398977107454325
65,false,Continue,576.102225461694,13,4.70312,0.19343745598426232,0.11872486114501954,0.018664710721098012,0.07960675460558674,0.08316386263370514,0.0004445921446002857,1.0175301295060377,0.010257959365844727,3.844274283603003,4.784381316258357,4.980304956436157,0.22711035418187117,52.245381777103134,41.76877784729004,273.81067908116853,2.6771519074073207,2.4067530632019043,0.36775799816776966
66,false,Continue,576.0938728103043,12,4.70312,0.1996635055541992,0.12790765762329098,0.019811762955145053,0.08039314143657687,0.08921631673574448,0.0004763091250588632,1.1014694770177205,0.010257959365844727,4.093831309978987,4.768054346243541,4.980304956436157,0.24397630345486887,53.265321135520935,42.05002784729004,284.007078134315,2.701768477757772,2.4067530632019043,0.39743725944029457
