cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,k23.mean,k23.median,k23.sd,k32.mean,k32.median,k32.sd,v0.mean,v0.median,v0.sd,lag1.mean,lag1.median,lag1.sd
51,false,Continue,576.344644356723,10,4.81783,0.14481420135498047,0.12872486114501955,0.004024304345540263,0.07537609287738802,0.07938461918830873,0.0001548749028103405,0.14879341125488282,0.02847158908843994,0.08971701176996526,4.967424297332764,4.949054956436157,0.0005623878082928967,71.89929814338684,63.06860947608948,867.1011814243006,1.8874756050109867,2.156753063201904,0.951731284819565
52,false,Continue,576.3088408858553,10,4.81783,0.1448142013549805,0.12872486114501955,0.004068996957234601,0.07549984287738801,0.07907524418830873,0.00015936335692084372,0.1456684112548828,0.02847158908843994,0.09055970588030582,4.970549297332764,4.964679956436157,0.000532479190955352,71.78679814338685,63.06860947608948,860.119360674064,1.8874756050109862,2.156753063201904,0.9517312848195648
53,false,Continue,576.2983681089266,10,4.81783,0.14431420135498046,0.12872486114501955,0.004066903612440222,0.07568546787738802,0.07938461918830873,0.00015893738327909049,0.14254341125488282,0.02847158908843994,0.08921055971286856,4.9767992973327635,4.980304956436157,0.0004075577896135959,71.67429814338684,63.06860947608948,853.1797274238276,1.8899756050109864,2.156753063201904,0.9574564373650699
54,false,Continue,576.2876469253233,11,4.81783,0.13878577492453836,0.12872486114501955,0.0038134982040459947,0.07648995711803439,0.07573886263370515,0.00017346370182694525,0.12602076747200705,0.010257959365844727,0.08115917162761496,4.9701022343202075,4.980304956436157,0.0004383683373682536,67.06964720379223,61.38110947608948,685.8122234024574,2.13224570534446,2.3067530632019038,0.8187167553813796
55,false,Continue,576.277782525171,9,4.81783,0.143799311319987,0.12872486114501955,0.0045722840568287225,0.07514436700344088,0.07573886263370515,0.00017268057772446926,0.1482736137178209,0.02847158908843994,0.09637082141339724,4.97477940718333,4.980304956436157,0.0004126030058877462,68.33376669883728,61.38110947608948,845.4001269607252,2.01846629248725,2.2817530632019034,0.9010788136785534
56,false,Continue,576.271871581602,10,4.81783,0.13979186630249024,0.12372486114501954,0.004224848650641461,0.07495631656646731,0.07419198763370516,0.0001553605283371704,0.13134704828262328,0.019364774227142334,0.08679192743067336,4.975331962108612,4.980304956436157,0.0003698113969103171,67.6947509765625,61.94360947608948,751.2085689952578,2.1172949695587158,2.2942530632019036,0.9105644287505478
57,false,Continue,576.262872064608,10,4.81783,0.14229186630249024,0.12872486114501955,0.004086976399766622,0.0772456915664673,0.07945136263370516,0.00018825419341300895,0.1282220482826233,0.019364774227142334,0.08621138290926211,4.975331962108612,4.980304956436157,0.0003698113969103171,67.1322509765625,59.69360947608948,754.4777494123186,2.0522949695587154,2.2942530632019036,0.8157360727494356
58,false,Continue,576.2599376538019,11,4.81783,0.1397151704268022,0.12872486114501955,0.003802428490408137,0.07608407194614412,0.07573886263370515,0.00014835112417195027,0.11631291562860663,0.02847158908843994,0.07809230665038276,4.977117993614891,4.980304956436157,0.0003679192511748913,70.17605371908708,62.50610947608948,754.9660550844243,1.9960462830283425,2.2817530632019034,0.9889626379416274
59,false,Continue,576.2554273682916,10,4.81783,0.1428142013549805,0.12872486114501955,0.004068401355834861,0.07648984287738801,0.07945136263370516,0.00016273711480486932,0.12379341125488282,0.02847158908843994,0.08521724520824513,4.9767992973327635,4.980304956436157,0.0004075577896135959,70.77429814338684,61.38110947608948,826.004577673118,1.8999756050109862,2.1692530632019036,0.9702181586582014
60,false,Continue,576.2516395160186,11,4.81783,0.1419878976995295,0.12872486114501955,0.003679295125817404,0.07822157194614411,0.08316386263370516,0.00017689128624973484,0.11063109744678844,0.02847158908843994,0.0778199822400309,4.977117993614891,4.980304956436157,0.0003679192511748913,69.51128099181436,59.69360947608948,751.8076306072804,1.9415008284828879,2.2817530632019034,0.8921641288206864
61,false,Continue,576.2501807612632,11,4.81783,0.14153335224498403,0.12872486114501955,0.0036796075391197407,0.07827782194614412,0.08316386263370516,0.00017499436009458489,0.11063109744678844,0.02847158908843994,0.0778199822400309,4.982799811796709,4.980304956436157,0.0001769324228043635,69.46014462817799,59.69360947608948,748.7170172946676,1.9460462830283425,2.2817530632019034,0.8915529556677626
62,false,Continue,576.2448996904809,9,4.81783,0.1432437557644314,0.12872486114501955,0.004574875709169083,0.07590061700344088,0.07573886263370515,0.00017833263167482376,0.1309125026067098,0.02847158908843994,0.09470910652263242,4.981723851627773,4.980304956436157,0.00020054561574096082,67.45876669883728,59.13110947608948,817.7284214912361,2.0295774035983616,2.2817530632019034,0.9245420543417638
63,false,Continue,576.2442889403135,11,4.81783,0.14153335224498403,0.12872486114501955,0.0036796075391197407,0.07850282194614412,0.08316386263370516,0.00017952824478922083,0.11063109744678844,0.02847158908843994,0.07781998224003091,4.982799811796709,4.980304956436157,0.00017693242280436357,69.25559917363253,59.13110947608948,740.6474636978026,1.946046283028342,2.2817530632019034,0.8987939238951492
64,false,Continue,576.2418511529369,11,4.81783,0.141533352244984,0.12872486114501955,0.00367960753911974,0.07855907194614412,0.08316386263370516,0.00018042961550907084,0.11063109744678844,0.02847158908843994,0.07781998224003091,4.9799589027058,4.980304956436157,0.00047661617789871834,69.15332644635981,59.13110947608948,734.5927995725768,1.9483190103010697,2.2817530632019034,0.8929133077504486
65,false,Continue,576.2385840802303,10,4.81783,0.1428142013549805,0.12872486114501955,0.004068401355834861,0.07710859287738801,0.07945136263370516,0.00017268456131744924,0.12066841125488281,0.02847158908843994,0.08523528654080792,4.986174297332764,4.980304956436157,0.00005741527093429491,70.15554814338684,60.81860947608948,799.3147595888781,1.909975605010986,2.1817530632019038,0.9655555061126962
66,false,Continue,576.2373922392935,9,4.81783,0.14268820020887588,0.12872486114501955,0.004576772917064997,0.07610686700344088,0.07573886263370515,0.00018298126580860974,0.1309125026067098,0.02847158908843994,0.09470910652263244,4.985196073849996,4.980304956436157,0.00005382681650090148,67.27126669883728,59.13110947608948,805.6394607095426,2.032355181376139,2.2817530632019034,0.9177613863744972
67,false,Continue,576.232940207045,10,4.81783,0.14026953125000002,0.12872486114501955,0.004103516211394068,0.07868216525554658,0.07945136263370516,0.00021523661651575929,0.11702568531036377,0.010257959365844727,0.08604059023130048,4.98011462688446,4.980304956436157,0.00015631275318052457,62.64645380973816,58.56860947608948,616.8248995467297,2.2246143341064446,2.3567530632019036,0.6262808087948437
68,false,Continue,576.232940129574,9,4.81783,0.14155227237277562,0.12872486114501955,0.004597944708952654,0.07694669888019563,0.07573886263370515,0.0002082579537555242,0.12888876597086588,0.010257959365844727,0.09521242132919029,4.9835657013787165,4.980304956436157,0.00004186530172292338,63.09954762458801,58.56860947608948,691.6184544331999,2.2099322530958383,2.3567530632019036,0.7021408204876768
69,false,Continue,576.190812360694,8,4.81783,0.1422181987762451,0.12372486114501954,0.005314518385347558,0.07473869403600694,0.07481073763370516,0.0001906799910416817,0.13981136679649353,0.011552274227142334,0.1076337187846497,4.985926419496536,4.980304956436157,0.00006027834021336632,63.70107114315033,58.99048447608948,786.7220056381401,2.19157965183258,2.3317530632019032,0.7989822385480265
70,false,Continue,576.1868504199388,10,4.81783,0.13779186630249024,0.12372486114501954,0.004295359366549934,0.07591537906646731,0.07496542513370516,0.00016263675387342746,0.11259704828262329,0.011552274227142334,0.08669966415926211,4.987831962108612,4.987641632556915,0.00006307165600879394,66.6541259765625,60.67798447608948,707.9711162647213,2.131044969558716,2.3255030632019036,0.9111707530258824
71,false,Continue,576.1815010277279,11,4.81783,0.1378969886086204,0.12872486114501955,0.003865944987586649,0.07687157194614413,0.07573886263370515,0.0001575268056445796,0.10352882471951572,0.012846589088439941,0.08166863220783135,4.988481629978526,4.994978308677673,0.00006140724216110854,68.87207644635981,59.13110947608948,714.8338607593672,2.013091737573797,2.294253063201903,0.9953282284706357
72,false,Continue,576.1752293891507,10,4.81783,0.13779186630249024,0.12372486114501954,0.004295359366549935,0.0761010040664673,0.07512011263370516,0.00016188130761118707,0.11259704828262329,0.011552274227142334,0.09288455999259544,4.987831962108612,4.987641632556915,0.00006307165600879394,66.4853759765625,60.39673447608948,702.4024715146031,2.131044969558716,2.3255030632019036,0.9111707530258824
