cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,lag1.mean,lag1.median,lag1.sd,v0.mean,v0.median,v0.sd
39,false,Continue,459.21212504323654,18,2.60705,0.5620928785536025,0.6143775939941405,0.06968663900771505,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3379791418711349,1.0910114288330077,1.2613722150771534,92.87823152542114,97.94317388534546,586.7256907588917
40,false,Continue,459.20001218198263,17,2.60705,0.5587231894100413,0.6093775939941405,0.07382489330152127,0.053118088353381436,0.054577017354965215,0.00025601000174591676,1.3480948896969067,1.0660114288330076,1.3318156319467274,91.45529373954324,96.81817388534546,584.6726655314096
41,false,Continue,459.1853544027763,18,2.60705,0.5604262118869356,0.6043775939941405,0.06977660463355279,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3296458085378011,1.0410114288330075,1.2596001706709357,92.87823152542114,97.94317388534546,586.7256907588917
42,false,Continue,459.16644154327923,17,2.60705,0.557546718821806,0.5993775939941405,0.07397906786218036,0.053118088353381436,0.054577017354965215,0.00025601000174591676,1.3422125367557303,1.0160114288330075,1.3288695937005726,91.45529373954324,96.81817388534546,584.6726655314096
43,false,Continue,459.1514960873589,17,2.60705,0.5569584835276884,0.5893775939941405,0.07393266162115612,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.34221253675573,1.0160114288330075,1.3288695937005726,91.45529373954324,96.81817388534546,584.6726655314096
44,false,Continue,459.14004495392237,17,2.60705,0.5563702482335708,0.5793775939941405,0.07389802008601423,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.34221253675573,1.0160114288330075,1.3288695937005726,91.45529373954324,96.81817388534546,584.6726655314096
45,false,Continue,459.13216987446486,17,2.60705,0.5557820129394531,0.5693775939941405,0.07387514325675469,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.34221253675573,1.0160114288330075,1.3288695937005726,91.45529373954324,96.81817388534546,584.6726655314096
46,false,Continue,459.12795201258666,17,2.60705,0.5551937776453354,0.5639482116699219,0.07386403113337751,0.05311808835338144,0.054577017354965215,0.00025601000174591676,1.34221253675573,1.0160114288330075,1.3288695937005726,91.45529373954324,96.81817388534546,584.6726655314096
47,false,Continue,459.12744841966907,18,2.60705,0.5548706563313801,0.5616629028320312,0.06952096745843535,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3240902529822458,1.0160114288330075,1.2566123031161276,92.87823152542114,97.94317388534546,586.7256907588917
48,false,Continue,459.12744841966907,18,2.60705,0.5548706563313801,0.5616629028320312,0.06952096745843535,0.05209913996458053,0.051788071548938754,0.00025963919462122906,1.3240902529822458,1.0160114288330075,1.2566123031161276,92.87823152542114,97.94317388534546,586.7256907588917
49,false,Continue,458.9679729495733,20,2.60705,0.5584281740188599,0.5639482116699219,0.06219023268802381,0.052183273020982746,0.051788071548938754,0.00023602952915585494,1.3344361448287962,1.0160114288330075,1.1889361653487298,92.81107099056244,97.66192388534546,599.5959702339081
50,false,Continue,458.5553908261187,19,2.60705,0.5589045203359505,0.5639482116699219,0.06570547790283807,0.05316452331919419,0.05519576735496522,0.00023182397414831606,1.349879550933838,1.0160114288330075,1.2448015597251212,91.53438136452122,96.25567388534546,604.4759606122175
51,false,Continue,458.37441001755354,19,2.60705,0.5589045203359505,0.5639482116699219,0.06570547790283807,0.05316452331919419,0.05519576735496522,0.00023182397414831606,1.3472479719864696,1.0160114288330075,1.242418123600197,91.47517083820544,95.69317388534546,610.5932897752042
52,false,Continue,458.14972279644235,18,2.60705,0.555680135091146,0.5639482116699219,0.06949534139803859,0.05302675709724427,0.052097446548938754,0.0002455743099489029,1.2952994664510091,0.9426461219787596,1.267453809802153,92.81733906269073,97.09942388534546,611.7964948711714
53,false,Continue,458.02990818359467,18,2.60705,0.5559579128689237,0.5639482116699219,0.06966970043415387,0.053061132097244265,0.052406821548938755,0.000245753470668031,1.2925216886732316,0.9426461219787596,1.2617817419230808,92.78608906269073,97.09942388534546,618.8041762768908
54,false,Continue,457.86069223815366,19,2.57486,0.5566642118755142,0.5639482116699219,0.06615559919698066,0.05209881026870326,0.04899912574291229,0.00025328812033931377,1.2766527276290092,1.0160114288330075,1.1937461589169382,94.15290931651467,99.06817388534546,621.4336397527336
55,false,Continue,457.6090682611075,18,2.57486,0.5567912462022571,0.5639482116699219,0.07008358382663743,0.053095507097244275,0.052406821548938755,0.00024820245904962025,1.288355022006565,0.9426461219787596,1.2547869435058963,92.69233906269073,96.53692388534546,625.6773262354944
